20110311_144600 Lat:38.1030 Lon:142.8600 Dep: 24.0 Mag: 9.00
38.103,142.860, 38.3052,141.5044,   2.81340,   9.06275,  40.51516, 580,201103111446
38.103,142.860, 38.9015,141.5684,   1.14964,   3.97770,  14.60013, 570,201103111446
38.103,142.860, 39.2701,141.8561,   1.01915,   4.90152,  25.50240, 670,201103111446
38.103,142.860, 39.6472,141.9464,   2.11357,   6.24332,  24.39443, 630,201103111446
38.103,142.860, 37.0911,140.9035,   1.60209,   2.87293,  11.39300, 333,201103111446
38.103,142.860, 36.9069,140.7929,   2.23266,   4.00383,  16.11666, 333,201103111446
38.103,142.860, 40.0083,141.8861,   1.53863,   4.02445,  14.06770, 400,201103111446
38.103,142.860, 36.8808,140.6544,   0.95014,   1.99947,  15.54945, 333,201103111446
38.103,142.860, 40.1819,141.7641,   1.55355,   4.01875,  11.90542, 400,201103111446
38.103,142.860, 38.7895,140.0185,   0.82784,   7.45708,  29.98116,  40,201103111446
38.103,142.860, 38.7292,139.8013,   0.61593,   3.55025,  29.74071,  40,201103111446
38.103,142.860, 36.3523,140.5955,   1.76396,   3.03560,  21.74274, 400,201103111446
38.103,142.860, 38.9140,139.8127,   2.77136,  11.66626,  26.59550,  40,201103111446
38.103,142.860, 36.3690,140.4528,   1.73515,   4.20179,  21.57791, 400,201103111446
38.103,142.860, 38.6276,139.5889,   0.74281,   2.44849,  28.41640,  13,201103111446
38.103,142.860, 38.4501,139.4961,   0.39547,   3.15209,  27.09725,  13,201103111446
38.103,142.860, 36.1587,140.4892,   1.69491,   2.94085,  12.95960, 400,201103111446
38.103,142.860, 37.9507,139.3375,   0.96128,   2.88986,  20.78868,  18,201103111446
38.103,142.860, 36.1901,140.2869,   0.95323,   2.46738,  18.99981, 400,201103111446
38.103,142.860, 35.7358,140.8300,   0.81025,   2.09561,  15.26085, 250,201103111446
38.103,142.860, 37.6935,139.1886,   1.30084,   2.40708,  17.79222,  18,201103111446
